timestamp,seconds_elapsed,cash,map,faction,life
2026-09-19T20:51:04,0.0,0,Europe,alpha,1
2026-09-19T20:51:06,2.0,0,Europe,alpha,1
2026-09-19T20:51:08,4.0,0,Europe,alpha,1
2026-09-19T20:51:10,6.0,0,Europe,alpha,1
2026-09-19T20:51:12,8.0,0,Europe,alpha,1
2026-09-19T20:51:14,10.0,0,Europe,alpha,1
2026-09-19T20:51:16,12.0,0,Europe,alpha,1
2026-09-19T20:51:18,14.0,0,Europe,alpha,1
2026-09-19T20:51:20,16.0,0,Europe,alpha,1
2026-09-19T20:51:22,18.0,0,Europe,alpha,1
2026-09-19T20:51:24,20.0,0,Europe,alpha,1
2026-09-19T20:51:26,22.0,0,Europe,alpha,1
2026-09-19T20:51:28,24.1,0,Europe,alpha,1
2026-09-19T20:51:30,26.1,0,Europe,alpha,1
2026-09-19T20:51:32,28.1,0,Europe,alpha,1
2026-09-19T20:51:34,30.1,0,Europe,alpha,1
2026-09-19T20:51:36,32.1,0,Europe,alpha,1
2026-09-19T20:51:38,34.1,0,Europe,alpha,1
2026-09-19T20:51:40,36.1,0,Europe,alpha,1
2026-09-19T20:51:42,38.1,0,Europe,alpha,1
2026-09-19T20:51:44,40.1,0,Europe,alpha,1
2026-09-19T20:51:46,42.1,-3260,Europe,alpha,1
2026-09-19T20:51:48,44.1,-3260,Europe,alpha,1
2026-09-19T20:51:50,46.1,-3260,Europe,alpha,1
2026-09-19T20:51:52,48.1,-3260,Europe,alpha,1
2026-09-19T20:51:54,50.1,-3260,Europe,alpha,1
2026-09-19T20:51:56,52.1,-3260,Europe,alpha,1
2026-09-19T20:51:58,54.1,-3260,Europe,alpha,1
2026-09-19T20:52:00,56.1,-3260,Europe,alpha,1
2026-09-19T20:52:02,58.1,-3260,Europe,alpha,1
2026-09-19T20:52:04,60.1,-3260,Europe,alpha,1
2026-09-19T20:52:06,62.1,-3260,Europe,alpha,1
2026-09-19T20:52:08,64.1,-3260,Europe,alpha,1
2026-09-19T20:52:10,66.1,-3260,Europe,alpha,1
2026-09-19T20:52:12,68.1,-3260,Europe,alpha,1
2026-09-19T20:52:14,70.1,-3260,Europe,alpha,1
2026-09-19T20:52:16,72.1,-3260,Europe,alpha,1
2026-09-19T20:52:18,74.1,-3260,Europe,alpha,1
2026-09-19T20:52:20,76.1,-3260,Europe,alpha,1
2026-09-19T20:52:22,78.1,-3260,Europe,alpha,1
2026-09-19T20:52:24,80.1,-3260,Europe,alpha,1
2026-09-19T20:52:26,82.1,-3260,Europe,alpha,1
2026-09-19T20:52:28,84.1,-3260,Europe,alpha,1
2026-09-19T20:52:30,86.1,-3260,Europe,alpha,1
2026-09-19T20:52:32,88.1,-3260,Europe,alpha,1
2026-09-19T20:52:34,90.1,-3260,Europe,alpha,1
2026-09-19T20:52:36,92.1,-3260,Europe,alpha,1
2026-09-19T20:52:38,94.1,-3260,Europe,alpha,1
2026-09-19T20:52:40,96.1,-3260,Europe,alpha,1
2026-09-19T20:52:42,98.1,-3260,Europe,alpha,1
2026-09-19T20:52:44,100.1,-3260,Europe,alpha,1
