timestamp,seconds_elapsed,cash,map,faction,life
2026-09-19T19:51:17,0.0,0,Kavkazi,unknown,1
2026-09-19T19:52:03,46.1,-5260,Kavkazi,unknown,1
2026-09-19T19:53:33,136.2,-5010,Kavkazi,unknown,1
2026-09-19T19:53:43,146.2,-4850,Kavkazi,unknown,1
2026-09-19T19:54:03,166.2,-4690,Kavkazi,unknown,1
2026-09-19T19:54:29,192.3,-4530,Kavkazi,unknown,1
2026-09-19T19:54:53,216.3,-4370,Kavkazi,unknown,1
2026-09-19T19:55:19,242.3,-4210,Kavkazi,unknown,1
2026-09-19T19:55:44,266.4,-4050,Kavkazi,unknown,1
2026-09-19T19:56:04,286.4,-3890,Kavkazi,unknown,1
2026-09-19T19:56:14,296.4,-2390,Kavkazi,unknown,1
2026-09-19T19:56:24,306.4,-640,Kavkazi,unknown,1
2026-09-19T19:56:30,312.4,-480,Kavkazi,unknown,1
2026-09-19T19:56:54,336.5,-320,Kavkazi,unknown,1
2026-09-19T20:00:04,526.7,-790,Kavkazi,unknown,1
2026-09-19T20:00:30,552.7,-630,Kavkazi,unknown,1
2026-09-19T20:00:54,576.7,-470,Kavkazi,unknown,1
2026-09-19T20:01:20,602.8,-310,Kavkazi,unknown,1
2026-09-19T20:01:40,622.8,-150,Kavkazi,unknown,1
2026-09-19T20:02:04,646.8,10,Kavkazi,unknown,1
2026-09-19T20:02:30,672.9,170,Kavkazi,unknown,1
2026-09-19T20:02:54,696.9,330,Kavkazi,unknown,1
2026-09-19T20:03:20,722.9,490,Kavkazi,unknown,1
2026-09-19T20:03:30,732.9,990,Kavkazi,unknown,1
2026-09-19T20:04:00,763.0,3240,Kavkazi,unknown,1
2026-09-19T20:04:04,767.0,3400,Kavkazi,unknown,1
2026-09-19T20:04:30,793.0,3560,Kavkazi,unknown,1
2026-09-19T20:04:34,797.0,4410,Kavkazi,unknown,1
2026-09-19T20:04:54,817.0,4570,Kavkazi,unknown,1
2026-09-19T20:05:20,843.1,4730,Kavkazi,unknown,1
2026-09-19T20:05:40,863.1,4890,Kavkazi,unknown,1
2026-09-19T20:06:04,887.1,5050,Kavkazi,unknown,1
2026-09-19T20:06:30,913.1,5210,Kavkazi,unknown,1
2026-09-19T20:06:54,937.2,5370,Kavkazi,unknown,1
2026-09-19T20:07:20,963.2,5530,Kavkazi,unknown,1
2026-09-19T20:07:40,983.2,5690,Kavkazi,unknown,1
2026-09-19T20:08:30,1033.3,2700,Kavkazi,unknown,2
2026-09-19T20:14:05,1367.7,2950,Kavkazi,unknown,2
2026-09-19T20:14:31,1393.7,3110,Kavkazi,unknown,2
2026-09-19T20:14:55,1417.7,3430,Kavkazi,unknown,2
2026-09-19T20:15:15,1437.7,3750,Kavkazi,unknown,2
2026-09-19T20:15:25,1447.8,6750,Kavkazi,unknown,2
2026-09-19T20:16:25,1507.8,4880,Kavkazi,unknown,3
2026-09-19T20:17:35,1577.9,5130,Kavkazi,unknown,3
2026-09-19T20:17:41,1583.9,5450,Kavkazi,unknown,3
2026-09-19T20:18:05,1608.0,5610,Kavkazi,unknown,3
2026-09-19T20:18:31,1634.0,5930,Kavkazi,unknown,3
2026-09-19T20:18:41,1644.0,6020,Kavkazi,unknown,3
2026-09-19T20:18:55,1658.0,6340,Kavkazi,unknown,3
2026-09-19T20:19:15,1678.0,6500,Kavkazi,unknown,3
2026-09-19T20:19:41,1704.1,6820,Kavkazi,unknown,3
2026-09-19T20:20:05,1728.1,7140,Kavkazi,unknown,3
2026-09-19T20:20:31,1754.1,7500,Kavkazi,unknown,3
2026-09-19T20:20:55,1778.2,7900,Kavkazi,unknown,3
2026-09-19T20:21:15,1798.2,8340,Kavkazi,unknown,3
2026-09-19T20:21:41,1824.2,8820,Kavkazi,unknown,3
2026-09-19T20:22:05,1848.2,9340,Kavkazi,unknown,3
2026-09-19T20:22:31,1874.3,9900,Kavkazi,unknown,3
2026-09-19T20:22:51,1894.3,10500,Kavkazi,unknown,3
2026-09-19T20:23:15,1918.3,10700,Kavkazi,unknown,3
2026-09-19T20:23:21,1924.3,10630,Kavkazi,unknown,3
2026-09-19T20:23:41,1944.3,10950,Kavkazi,unknown,3
2026-09-19T20:24:06,1968.4,11110,Kavkazi,unknown,3
2026-09-19T20:24:32,1994.4,11270,Kavkazi,unknown,3
2026-09-19T20:24:52,2014.4,12230,Kavkazi,unknown,3
2026-09-19T20:24:56,2018.4,12255,Kavkazi,unknown,3
2026-09-19T20:27:22,2164.6,8995,Kavkazi,unknown,4
2026-09-19T20:30:52,2374.9,9245,Kavkazi,unknown,4
2026-09-19T20:31:16,2398.9,9405,Kavkazi,unknown,4
2026-09-19T20:31:42,2424.9,9565,Kavkazi,unknown,4
2026-09-19T20:32:06,2448.9,9725,Kavkazi,unknown,4
2026-09-19T20:32:32,2475.0,10045,Kavkazi,unknown,4
2026-09-19T20:32:52,2495.0,10365,Kavkazi,unknown,4
2026-09-19T20:33:16,2519.0,10725,Kavkazi,unknown,4
2026-09-19T20:33:42,2545.1,11125,Kavkazi,unknown,4
2026-09-19T20:33:52,2555.1,11375,Kavkazi,unknown,4
2026-09-19T20:34:06,2569.1,11815,Kavkazi,unknown,4
2026-09-19T20:34:12,2575.1,11940,Kavkazi,unknown,4
2026-09-19T20:34:22,2585.1,13340,Kavkazi,unknown,4
2026-09-19T20:34:32,2595.1,13820,Kavkazi,unknown,4
2026-09-19T20:34:36,2599.1,14820,Kavkazi,unknown,4
2026-09-19T20:34:46,2609.1,14895,Kavkazi,unknown,4
2026-09-19T20:34:52,2615.1,15415,Kavkazi,unknown,4
2026-09-19T20:35:02,2625.2,15849,Kavkazi,unknown,4
2026-09-19T20:35:16,2639.2,16169,Kavkazi,unknown,4
2026-09-19T20:35:22,2645.2,18569,Kavkazi,unknown,4
2026-09-19T20:35:42,2665.2,18889,Kavkazi,unknown,4
2026-09-19T20:36:06,2689.2,19249,Kavkazi,unknown,4
2026-09-19T20:36:22,2705.3,19499,Kavkazi,unknown,4
2026-09-19T20:36:26,2709.3,19649,Kavkazi,unknown,4
2026-09-19T20:36:32,2715.3,21899,Kavkazi,unknown,4
2026-09-19T20:36:36,2719.3,22299,Kavkazi,unknown,4
2026-09-19T20:38:03,2805.4,21899,Kavkazi,unknown,4
2026-09-19T20:38:07,2809.4,21989,Kavkazi,unknown,4
2026-09-19T20:38:31,2833.4,22149,Kavkazi,unknown,4
2026-09-19T20:39:37,2899.5,19039,Kavkazi,unknown,5
2026-09-19T20:40:01,2923.5,19289,Kavkazi,unknown,5
2026-09-19T20:40:07,2929.5,19449,Kavkazi,unknown,5
2026-09-19T20:40:11,2933.5,19414,Kavkazi,unknown,5
2026-09-19T20:40:31,2953.6,19574,Kavkazi,unknown,5
2026-09-19T20:40:57,2979.6,19734,Kavkazi,unknown,5
2026-09-19T20:41:21,3003.6,19894,Kavkazi,unknown,5
2026-09-19T20:41:41,3023.6,20054,Kavkazi,unknown,5
2026-09-19T20:42:07,3049.7,20214,Kavkazi,unknown,5
2026-09-19T20:42:31,3073.7,20374,Kavkazi,unknown,5
2026-09-19T20:42:57,3099.7,20534,Kavkazi,unknown,5
2026-09-19T20:43:21,3123.8,20694,Kavkazi,unknown,5
2026-09-19T20:43:47,3149.8,20854,Kavkazi,unknown,5
2026-09-19T20:44:07,3169.8,21014,Kavkazi,unknown,5
2026-09-19T20:44:31,3193.8,21174,Kavkazi,unknown,5
2026-09-19T20:44:57,3219.9,21334,Kavkazi,unknown,5
2026-09-19T20:45:21,3243.9,21594,Kavkazi,unknown,5
2026-09-19T20:45:47,3269.9,21754,Kavkazi,unknown,5
2026-09-19T20:46:07,3290.0,21914,Kavkazi,unknown,5
2026-09-19T20:46:31,3314.0,22074,Kavkazi,unknown,5
2026-09-19T20:46:57,3340.0,22234,Kavkazi,unknown,5
2026-09-19T20:47:21,3364.0,23694,Kavkazi,unknown,5
2026-09-19T20:47:41,3384.1,24069,Kavkazi,unknown,5
2026-09-19T20:47:51,3394.1,24444,Kavkazi,unknown,5
